title,doi,issn,year,cited_wos_core,is_climate,data_statement,data_avail,data_some,code_statement,code_avail,code_some,dropped,dropped_why,notes,proprietary cited (including license needed),coi stated
Constraining human contributions to observed warming since the pre-industrial period,10.1038/s41558-020-00965-9,1758-678X,2021,55,1,"All figures in this manuscript use CMIP6 data available at https://esgf-node.llnl.gov/projects/cmip6/. The DOIs of the CMIP6 datasets (CMIP6 historical, DAMIP and ScenarioMIP) used from each model are: ACCESS-ESM1-5: https://doi.org/10.22033/ESGF/CMIP6.2288, https://doi.org/10.22033/ESGF/CMIP6.14362 and https://doi.org/10.22033/ESGF/CMIP6.2291; BCC-CSM2-MR: https://doi.org/10.22033/ESGF/CMIP6.1725, https://doi.org/10.22033/ESGF/CMIP6.1726 and https://doi.org/10.22033/ESGF/CMIP6.1732; CanESM5: https://doi.org/10.22033/ESGF/CMIP6.1303, https://doi.org/10.22033/ESGF/CMIP6.1305 and https://doi.org/10.22033/ESGF/CMIP6.1317; CESM2: https://doi.org/10.22033/ESGF/CMIP6.2185, https://doi.org/10.22033/ESGF/CMIP6.2187 and https://doi.org/10.22033/ESGF/CMIP6.2201; CNRM-CM6-1: https://doi.org/10.22033/ESGF/CMIP6.1375, https://doi.org/10.22033/ESGF/CMIP6.1376 and https://doi.org/10.22033/ESGF/CMIP6.1384; FGOALS-g3: https://doi.org/10.22033/ESGF/CMIP6.1783, https://doi.org/10.22033/ESGF/CMIP6.2048 and https://doi.org/10.22033/ESGF/CMIP6.2056; GFDL-ESM4: https://doi.org/10.22033/ESGF/CMIP6.1407, https://doi.org/10.22033/ESGF/CMIP6.1408 and https://doi.org/10.22033/ESGF/CMIP6.1414; GISS-E2-1-G: https://doi.org/10.22033/ESGF/CMIP6.1400, https://doi.org/10.22033/ESGF/CMIP6.2062 and https://doi.org/10.22033/ESGF/CMIP6.2074; HadGEM3-GC31-LL: https://doi.org/10.22033/ESGF/CMIP6.419, https://doi.org/10.22033/ESGF/CMIP6.471 and https://doi.org/10.22033/ESGF/CMIP6.10845; IPSL-CM6A-LR: https://doi.org/10.22033/ESGF/CMIP6.1534, https://doi.org/10.22033/ESGF/CMIP6.13801 and https://doi.org/10.22033/ESGF/CMIP6.1532; MIROC6: https://doi.org/10.22033/ESGF/CMIP6.881, https://doi.org/10.22033/ESGF/CMIP6.894 and https://doi.org/10.22033/ESGF/CMIP6.898; MRI-ESM2-0: https://doi.org/10.22033/ESGF/CMIP6.621, https://doi.org/10.22033/ESGF/CMIP6.634 and https://doi.org/10.22033/ESGF/CMIP6.638; NorESM2-LM: https://doi.org/10.22033/ESGF/CMIP6.502, https://doi.org/10.22033/ESGF/CMIP6.580 and https://doi.org/10.22033/ESGF/CMIP6.604. HadCRUT4 data (version 4.6.0.0, downloaded 24 March 2020) are available at https://www.metoffice.gov.uk/hadobs/hadcrut4/, GISTEMP data (version 4 with 1,200 km smoothing, downloaded 13 April 2020) are available at https://data.giss.nasa.gov/gistemp/ and NOAAGlobalTemp data (version 5.0.0, downloaded 13 April 2020) are available at https://www.ncdc.noaa.gov/noaa-merged-land-ocean-global-surface-temperature-analysis-noaaglobaltemp-v5, and HadCRUT.5.0.0.0 data are available at https://www.metoffice.gov.uk/hadobs/hadcrut5.",0,1,The analysis code used in this study is based on ESMValTool and is available at https://github.com/ESMValGroup/ESMValTool/tree/gillett20.,0,1,,,They do have a lot of data availability but not all,0,0
Increased economic drought impacts in Europe with anthropogenic warming,10.1038/s41558-021-01044-3,1758-678X,2021,54,1,The data that support the findings of this study are available from several databases listed in the Methods of the manuscript and the referred studies. Data are available from the authors on reasonable request and following data restrictions from the sources,0,0,The code that supported the findings of this study is available from the corresponding author upon reasonable request.,0,0,,,,0,0
Zonally contrasting shifts of the tropical rain belt in response to climate change,10.1038/s41558-020-00963-x,1758-678X,2021,53,1,The data we use in our analysis are all freely available. We use satellite data (monthly precipitation series on a 0.25° × 0.25° grid96 and OLR series on a 1° × 1° grid97 for 1983–2005) and climate model outputs from the sixth phase of the Coupled Model Intercomparison Project39 (CMIP6); see Supplementary Table 1.,0,0,"Upon reasonable request, the code that supports the findings of this study can be provided by the corresponding author.",0,0,,,Say data is freely available and say code is available upon reasonable request,0,0
Cost and attainability of meeting stringent climate targets without overshoot,10.1038/s41558-021-01215-2,1758-678X,2021,52,1,The underlying data are available at ref. 65. All scenarios are made accessible online also via the ENGAGE Scenario Portal: https://data.ece.iiasa.ac.at/engage,0,0,"The models are documented on the common integrated assessment model documentation website (https://www.iamcdocumentation.eu/index.php/IAMC_wiki) and several have published open source code (for example, REMIND, https://github.com/remindmodel/remind; MESSAGE, https://github.com/iiasa/message_ix). The code that was used to generate the figures is available at GitHub. For a brief documentation of the models and main concepts see Section 3 of the Supplementary Information. A GitHub repository for the source code of the figures is available at https://github.com/iiasa/ENGAGE-netzero-analysis",0,1,,,They cite a reference that doesn't exist in their reference list (#65) for the data. ,0,0
Anthropogenic emissions and urbanization increase risk of compound hot extremes in cities,10.1038/s41558-021-01196-2,1758-678X,2021,52,1,"All the data that support the findings are publicly available. The temperature observations and LULC maps are available at http://data.cma.cn/en/ and https://www.resdc.cn/Datalist1.aspx?FieldTyepID=1,3 (website available only in Chinese), respectively. The CMIP5 and CMIP6 model outputs can be accessed at https://esgf-node.llnl.gov/projects/cmip5/ and https://esgf-node.llnl.gov/projects/cmip6/, respectively. The global projections of future population and urban expansion based on the SSPs are available at https://sedac.ciesin.columbia.edu/data/set/popdynamics-1-8th-pop-base-year-projection-ssp-2000-2100-rev01 and https://doi.pangaea.de/10.1594/PANGAEA.905890, respectively. The mortality data can be secured through a government data-sharing portal (https://www.phsciencedata.cn/Share/en/index.jsp), from the provincial mortality-surveillance system on registration or from the corresponding author W.M.",0,1,All the codes associated with this paper are available from the corresponding authors upon reasonable request.,0,0,,,They say all data that supports the paper is available but they don't include outputs or processed data. Code to generate these is not available,0,0
Atmospheric dynamic constraints on Tibetan Plateau freshwater under Paris climate targets,10.1038/s41558-020-00974-8,1758-678X,2021,52,1,"The data that support the findings of this study are publicly available. The observational grid precipitations are available from https://www.dwd.de/EN/ourservices/gpcc/gpcc.html, http://www.cru.uea.ac.uk/data and https://www.esrl.noaa.gov/psd/data/gridded/data.UDel_AirT_Precip.html. The SLP dataset is available from https://www.esrl.noaa.gov/psd/gcos_wgsp/Gridded/data.hadslp2.html. The CMIP output is available from the Earth System Grid Federation at https://esgf-node.llnl.gov/projects/cmip5/, https://esgf-node.llnl.gov/search/cmip6/. The population data are available from https://sedac.ciesin.columbia.edu/data/set/popdynamics-1-km-downscaled-pop-base-year-projection-ssp-2000-2100-rev01. The glacier runoff data were extracted from https://www.nature.com/articles/s41558-017-0049-x#Sec14. The GLDAS Noah product is available from https://ldas.gsfc.nasa.gov/gldas/model-output. The Japanese 55-year reanalysis data are available from http://jra.kishou.go.jp/.",0,1,The codes used to perform the calculation and produce all figures are available from GitHub at https://github.com/zhaoyutong/.,0,1,,,The code does not include data processing of the many data inputs provided and github only,0,0
Over half of known human pathogenic diseases can be aggravated by climate change,10.1038/s41558-022-01426-1,1758-678X,2022,50,1,All data collected as part of the literature search are publicly available at: https://github.com/Camilo-Mora/Diseases. List of diseases affected by climatic hazards is provided in Supplementary Table 1. The list of references with empirical cases is provided in Supplementary Table 2.,0,1,,0,1,,,All data for their review is available including code for interactive data but on github,0,0
Plausible energy demand patterns in a growing global economy with climate policy,10.1038/s41558-020-00975-7,1758-678X,2021,50,1,"The data that support the national and regional historical energy series are from the UN and the IEA, but restrictions apply to the availability of these data, which were used under licence for the current study and so are not publicly available. The national historical data are, however, deposited with the UK Data Service67, with access conditional on case-by-case permission by the IEA: https://www.ukdataservice.ac.uk/get-data.aspx. All other historical data are publicly available from the Penn World Table, the Maddison Project, the World Bank and the PFU database. The data that support the future scenarios are derived exclusively from the IAMC 1.5 °C Scenario Explorer and Data and are available for free at https://data.ene.iiasa.ac.at/iamc-1.5c-explorer/.",0,1,The code for curating the future scenario data (once downloaded) and for generating all the figures in the paper is available from the authors on reasonable request. It is coded in R.,0,0,,,License restrictions and code available upon request,1,0
Next-generation ensemble projections reveal higher climate risks for marine ecosystems,10.1038/s41558-021-01173-9,1758-678X,2021,48,1,All standardized forcing variables from the ESMs are available at https://doi.org/10.48364/ISIMIP.575744.1; all outputs from the MEMs are available via ISIMIP (https://www.isimip.org/gettingstarted/data-access/).,0,1,All code used to analyse simulations is available at https://github.com/Fish-MIP/CMIP5vsCMIP6.,0,1,,,All available but not all trusted repos,0,0
Observational constraints on low cloud feedback reduce uncertainty of climate sensitivity,10.1038/s41558-021-01039-0,1758-678X,2021,47,1,"The meteorological cloud radiative kernels applied in this study are freely available for download at https://github.com/tamyers87/meteorological_cloud_radiative_kernels. All data used in this work are freely available for download at https://modis-atmos.gsfc.nasa.gov/MOD06_L2/index.html (MODIS), https://ceres.larc.nasa.gov/data/ (CERES-FBCT61), https://www.ncdc.noaa.gov/isccp/isccp-data-access (ISCCP62), http://climserv.ipsl.polytechnique.fr/gewexca/instruments/PATMOSX.html (PATMOS-x), https://github.com/mzelinka/cloud-radiative-kernels (cloud radiative kernels), https://www.esrl.noaa.gov/psd/data/gridded/ (NOAA OI SST), https://cds.climate.copernicus.eu/cdsapp#!/home (ERA5, ref. 63,64), https://disc.gsfc.nasa.gov/ (MERRA-2, refs. 65,66,67), https://esgf-node.llnl.gov (CMIP5 and CMIP6) and https://data.giss.nasa.gov/clouds/casccad/ (CASCCAD).",0,1,The MATLAB and Python code used to process and analyse data can be obtained by contacting the corresponding author. The original code from ref. 46 used to produce Fig. 5 is available at https://doi.org/10.5281/zenodo.3945276 (ref. 60).,0,1,,,"Inputs available but not code for processing and generating outputs, or output data. No trusted repos",0,0
Inequitable patterns of US flood risk in the Anthropocene,10.1038/s41558-021-01265-6,1758-678X,2022,46,1,"The flood hazard data used in this analysis are available from Bates et al.23, with details on constituent data availability contained therein. The building data used in this analysis are currently restricted from public use. Access details are available at https://www.hec.usace.army.mil/confluence/nsidocs/. The vulnerability functions (and the code for the computation of losses) are available at https://github.com/USACE/go-consequences. EPA EnviroAtlas and Integrated Climate and Land-Use Scenarios population data are available at https://edg.epa.gov/. The R package tidycensus (https://cran.r-project.org/package=tidycensus) was used to obtain data from the ACS.",0,1,"The loss calculations were made on the basis of the go-consequences codebase, available at https://github.com/USACE/go-consequences and published under the MIT license. The variant of the codebase used to execute this analysis is available at https://github.com/HenryGeorgist/go-fathom. A freely available version of the underlying computational hydraulic engine, LISFLOOD-FP v.8.0, is available at https://zenodo.org/record/4073011#.YFCo8Wj7SUl.",0,1,,,"Some data is restricted, you have to go to another article to find that out too for some data sources, and the code to generate some data like the flood hazard does not appear available directly. No trusted repos",0,0
Opposite response of strong and moderate positive Indian Ocean Dipole to global warming,10.1038/s41558-020-00943-1,1758-678X,2021,46,1,"Data relevant to the paper can be downloaded from websites listed below: OISST v2 at https://www.esrl.noaa.gov/psd/data/gridded data.noaa.oisst.v2.html; ORA-S5 at https://icdc.cen.uni-hamburg.de/daten/reanalysis-ocean/easy-init-ocean/ecmwf-oras5.html; SODA3.3.1 at https://www2.atmos.umd.edu/~ocean/index_files/soda3.3.1_mn_download.htm; GODAS at https://www.esrl.noaa.gov/psd/data/gridded/data.godas.html; CMIP5 database at http://www.ipcc-data.org/sim/gcm_monthly/AR5/; CMIP6 database at https://esgf-node.llnl.gov/projects/cmip6/; 19 CMIP6 models are used in this study, including: MRI-ESM2–0 (refs. 40,41); CNRM-ESM2–1 (refs. 42,43); CNRM-CM6–1 (refs. 44,45); BCC-CSM2-MR (refs. 46,47); EC-Earth3-Veg (refs. 48,49); NorESM2-LM (refs. 50,51); MIROC6 (refs. 52,53); CESM2 (refs. 54,55); CAMS-CSM1-0 (refs. 56,57); CESM2-WACCM (refs. 58,59); MIROC-ES2L (refs. 60,61); IPSL-CM6A-LR (refs. 62,63); INM-CM4-8 (refs. 64,65); INM-CM5-0 (refs. 66,67); CanESM5 (refs. 68,69); MPI-ESM1-2-LR (refs. 70,71); UKESM1-0-LL (refs. 72,73); MCM-UA-1-0 (refs. 74,75); GFDL-CM4 (refs. 76,77).",0,1,"Codes for calculating EOF, the parameter |α| can be downloaded from https://drive.google.com/open?id=1d2R8wKpFNW-vMIfoJsbqIGPIBd9Z_8rj.",0,1,,,"Limited data and code, others not mentioned at all. Some trusted repos",0,0
Demand-side solutions to climate change mitigation consistent with high levels of well-being,10.1038/s41558-021-01219-y,1758-678X,2022,45,1,All data used for Figs. 1 and 3 are fully presented in the Extended data. The literature database155 is openly available: https://doi.org/10.5281/zenodo.5163965,1,1,,0,0,,,They have all the data including the literature review but not code for producing figures,0,0
Global changes in oceanic mesoscale currents over the satellite altimetry record,10.1038/s41558-021-01006-9,1758-678X,2021,45,1,The unprocessed data from the satellite altimetry (produced by Ssalto/Duacs and distributed by EU CMEMS) can be found at https://resources.marine.copernicus.eu/?option=com_csw&view=details&product_id=SEALEVEL_GLO_PHY_L4_REP_OBSERVATIONS_008_047. The processed data used in this study are publicly available in netCDF format at https://doi.org/10.5281/zenodo.3993823 (ref. 50).,0,1,All analyses and figures in this manuscript are reproducible via Jupyter notebooks and instructions found in the Github repository EKE_SST_trends51 (https://doi.org/10.5281/zenodo.4458783). The analyses use the Python package xarrayMannKendall52 (https://doi.org/10.5281/zenodo.4458776).,1,1,,,"All available, but the unprocessed data is not from a trusted repo",0,0
Business risk and the emergence of climate analytics,10.1038/s41558-020-00984-6,1758-678X,2021,45,1,,,,,,,1,Perspective w/o data or code,,0,0
The blue carbon wealth of nations,10.1038/s41558-021-01089-4,1758-678X,2021,43,1,"The data on country carbon sequestration potential, country social cost of carbon and wealth restribution resulting from blue carbon sequestration are available within the paper and its Supplementary Information files.",0,1,The code for estimating the country social cost of carbon via bootstrapping is available within the Supplementary Information files (section 3). The calculation of the ecosystem areas underlying the country carbon sequestration potential is available from the corresponding author upon reasonable request.,0,1,,,They say its available in the SI but the available data and code is limited,0,0
Biodiversity–productivity relationships are key to nature-based climate solutions,10.1038/s41558-021-01062-1,1758-678X,2021,41,1,The source data underlying figures (Supplementary Data 1–6) are archived in the Dryad repository: https://doi.org/10.5061/dryad.vq83bk3s2.,0,1,The code that supports the findings of this study is available from the corresponding author upon reasonable request.,0,0,,,"Only source data for figures is available, code needs to be requested",0,0
Impact of high-speed rail on road traffic and greenhouse gas emissions,10.1038/s41558-021-01190-8,1758-678X,2021,40,1,The datasets analysed during the current study are not publicly available due to the confidentiality of the road monitoring data subject to a non-disclosure agreement but are available from the corresponding author on reasonable request.,0,0,The Stata code used for the analysis of HSR’s effect in this Article is available from https://github.com/MondayX/Code_HSReffect_NCC.git.,0,1,,,"Data available upon request, potentially, and code is not complete or in trusted repo",1,0
The relationship between cultural tightness-looseness and COVID-19 cases and deaths: a global analysis,10.1016/S2542-5196(20)30301-6,2542-5196,2021,176,0,,,,,,,1,Not climate,,,
Climate anxiety in children and young people and their beliefs about government responses to climate change: a global survey,https://doi.org/10.1016/S2542-5196(21)00278-3,2542-5196,2021,139,1,"Individual, unidentified participant data that underlie these results will be made available, beginning 3 months and ending 5 years after publication, to researchers who provide a methodologically sound proposal, to achieve aims in said approved proposal. Proposals will be considered by a small team of the authors and requests should be directed to c.l.hickman@bath.ac.uk, e.marks@bath.ac.uk, or panu.pihkala@helsinki.fi. To gain access, data requestors must sign a data access agreement.",0,0,,0,0,,,,0,0
Health care's response to climate change: a carbon footprint assessment of the NHS in England,https://doi.org/10.1016/S2542-5196(20)30271-0,2542-5196,2021,131,1,"Data for this work are available in appendix 1, and in machine-readable format in appendix 2.",0,1,,0,0,,,,0,1
"Global, regional, and national burden of mortality associated with non-optimal ambient temperatures from 2000 to 2019: a three-stage modelling study",,2542-5196,2021,120,1,"Data were collected within the MCC Collaborative Research Network under a data sharing agreement and cannot be made publicly available. Researchers can refer to MCC participants, who are listed as coauthors of this Article, for information on accessing the data for each country.",0,0,,0,0,,,,1,0
Articulating the effect of food systems innovation on the Sustainable Development Goals,10.1016/S2542-5196(20)30277-1,2542-5196,2021,80,1,,0,0,,0,0,,,,0,0
"Projecting the risk of mosquito-borne diseases in a warmer and more populated world: a multi-model, multi-scenario intercomparison modelling study",https://doi.org/10.1016/S2542-5196(21)00132-7,2542-5196,2021,56,1,All model outputs are available through the Centre for Open Science.,0,1,,0,0,,,"Just model outputs not raw at all, but put in trusted repo",0,0
Views of health professionals on climate change and health: a multinational survey study,10.1016/S2542-5196(21)00053-X,2542-5196,2021,55,1,,0,0,,0,0,,,,0,0
The public health implications of the Paris Agreement: a modelling study,https://doi.org/10.1016/S2542-5196(20)30249-7,2542-5196,2021,44,1,,0,0,,0,0,,,,0,0
The global and regional costs of healthy and sustainable dietary patterns: a modelling study,10.1016/S2542-5196(21)00251-5,2542-5196,2021,35,1,"The estimates of diet costs by country and region, commodity, and diet scenario will be deposited in the Oxford University Research Archive (at https://doi.org/10.5287/bodleian:bpPJMRzJo) and an overview is available as a Supplementary Data File in appendix 2.",0,1,,0,0,,,,0,1
Incorporating health co-benefits into technology pathways to achieve China's 2060 carbon neutrality goal: a modelling study,10.1016/S2542-5196(21)00252-7,2542-5196,2021,33,1,Detailed data and results can be found in appendix 2 (pp 31–40). The sources of data are listed in appendix 2 (pp 31–33). More data can be provided upon request to the corresponding authors.,0,1,,0,0,,,,0,0
The COVID-19 pandemic is intricately linked to biodiversity loss and ecosystem health,https://doi.org/10.1016/S2542-5196(21)00258-8,2542-5196,2021,30,1,,,,,,,1,Perspective/view without data or code,,,
Integrating solutions to adapt cities for climate change,https://doi.org/10.1016/S2542-5196(21)00135-2,2542-5196,2021,30,1,,,,,,,1,Perspective/view without data or code,,,
The determinants of planetary health: an Indigenous consensus perspective,10.1016/S2542-5196(21)00354-5,2542-5196,2022,25,1,,,,,,,1,Perspective/view without data or code,,,
Projections of temperature-attributable mortality in Europe: a time series analysis of 147 contiguous regions in 16 countries,https://doi.org/10.1016/S2542-5196(21)00150-9,2542-5196,2021,25,1,No additional data are available for this Article.,0,0,,0,0,,,,0,0
Combined effects of hydrometeorological hazards and urbanisation on dengue risk in Brazil: a spatiotemporal modelling study,https://doi.org/10.1016/S2542-5196(20)30292-8,2542-5196,2021,25,1,"All data used in this study is open access and freely available on the internet, see the methods section for details. The data and code used to produce the analysis is available from https://github.com/drrachellowe/hydromet_dengue and archived in a permanent repository.",1,1,"All data used in this study is open access and freely available on the internet, see the methods section for details. The data and code used to produce the analysis is available from https://github.com/drrachellowe/hydromet_dengue and archived in a permanent repository.",1,1,,,They say all data and code is in the permanent repo,0,0
The upper temperature thresholds of life,https://doi.org/10.1016/S2542-5196(21)00079-6,2542-5196,2021,24,1,Data will be shared on request to the corresponding author.,0,0,,0,0,,,,0,0
"Effects of climate change on combined labour productivity and supply: an empirical, multi-model study",https://doi.org/10.1016/S2542-5196(21)00170-4,2542-5196,2021,23,1,The labour supply data are available from IPUMS. The labour productivity data are available from authors on reasonable request.,0,0,,0,0,,,,0,0
Seasonal association between viral causes of hospitalised acute lower respiratory infections and meteorological factors in China: a retrospective study,https://doi.org/10.1016/S2542-5196(20)30297-7,2542-5196,2021,21,0,,,,,,,1,Not climate,,,
Impacts of heat stress on global cattle production during the 21st century: a modelling study,https://doi.org/10.1016/S2542-5196(22)00002-X,2542-5196,2022,20,1,Detailed results of the study are available in the appendix. Other data used are available from the authors on request.,0,0,,0,0,,,,0,0
Co-benefits from sustainable dietary shifts for population and environmental health: an assessment from a large European cohort study,10.1016/S2542-5196(21)00250-3,2542-5196,2021,20,1,"EPIC data and biospecimens are available for investigators who seek to answer important questions on health and disease in the context of research projects that are consistent with the legal and ethical standard practices of the International Agency for Research on Cancer (IARC), WHO, and the EPIC centres. The primary responsibility for accessing the data, obtained in the frame of the present publication, belongs to the EPIC centres that provided them. The use of a random sample of anonymised data from the EPIC study can be requested by contacting epic@iarc.fr. The request will then be passed on to members of the EPIC Steering Committee for deliberation and approval.",0,0,,0,0,,,,0,1
Role of climate goals and clean-air policies on reducing future air pollution deaths in China: a modelling study,https://doi.org/10.1016/S2542-5196(21)00326-0,2542-5196,2022,19,1,All data used in this work are available on request from the authors.,0,0,,0,0,,,,0,0
Future scenarios of risk of Vibrio infections in a warming planet: a global mapping study,https://doi.org/10.1016/S2542-5196(21)00169-8,2542-5196,2021,18,1,All data used in our research is free and open access. The Methods section provides the references to the different datasets used as inputs in our study. The intermediate and final datasets are available on request from the authors.,0,0,,0,0,,,,0,0
"Risk and burden of hospital admissions associated with wildfire-related PM2.5 in Brazil, 2000-15: a nationwide time-series study",https://doi.org/10.1016/S2542-5196(21)00173-X,2542-5196,2021,15,1,"The authors do not have permission to directly share the health outcome data, which were obtained from the Brazilian Unified Health System. Census data can be downloaded from the 2000 Brazilian Census and 2010 Brazilian Census. For other data, researchers who are interested should contact the corresponding authors with their study protocol and plan.",0,0,,0,0,,,,0,0
"Complex interlinkages, key objectives, and nexuses among the Sustainable Development Goals and climate change: a network analysis",https://doi.org/10.1016/S2542-5196(22)00070-5,2542-5196,2022,11,1,Data used for our analyses are freely available from the sources cited in the Methods section of this article. The code to reproduce these findings and visualisations can be found online at https://github.com/felix-laumann/SDG-networks.,0,1,,0,1,,,Github repo includes some instructions for data access,0,0
Internalising health-economic impacts of air pollution into climate policy: a global modelling study,https://doi.org/10.1016/S2542-5196(21)00259-X,2542-5196,2022,11,1,Data are available on request from the corresponding author.,0,0,,0,0,,,,0,0
Optimising the water we eat-rethinking policy to enhance productive and sustainable use of water in agri-food systems across scales,https://doi.org/10.1016/S2542-5196(21)00264-3,2542-5196,2022,11,1,,,,,,,1,Perspective w/o data or code,,,
Framing climate change as a human health issue: enough to tip the scale in climate policy?,https://doi.org/10.1016/S2542-5196(21)00113-3,2542-5196,2021,10,1,,,,,,,1,Perspective w/o data or code,,,
Small-area assessment of temperature-related mortality risks in England and Wales: a case time series analysis,https://doi.org/10.1016/S2542-5196(22)00138-3,2542-5196,2022,9,1,"Individual mortality data used to create the LSOA-specific daily time series were provided by the ONS through a specific agreement (MRP 2291/2013). These data cannot be shared by the authors and must be requested directly from the ONS. Daily temperature data over the 1 × 1 km grid were gathered from the HadUK-Grid database, publicly available through the UK Meteorological Office's Integrated Data Archive System (MIDAS), stored at the Centre for Environmental Data Analysis archive (https://archive.ceda.ac.uk/). Information on the small-area characteristics was gathered from public sources, with links provided in the appendix (p 1). The documented R code for replicating the full analysis and outputs is available from the corresponding author.",0,0,,0,0,,,,0,0
"Can virtual events achieve co-benefits for climate, participation, and satisfaction? Comparative evidence from five international Agriculture, Nutrition and Health Academy Week conferences",https://doi.org/10.1016/S2542-5196(21)00355-7,2542-5196,2022,9,1,,0,0,,0,0,,,,0,1
City-level vulnerability to temperature-related mortality in the USA and future projections: a geographically clustered meta-regression,10.1016/S2542-5196(21)00058-9,2542-5196,2021,9,1,Mortality data from 2006 to 2013 were obtained from state health departments and had to be destroyed at the end of the relevant data use agreements. Those data are available from the respective US state health departments upon completion of data use agreements with each department. All other data are publicly available with no restrictions. Processed de-identified datasets used in analytical work as well as analytical code and supporting documentation will be made available on the Environmental Protection Agency's Science Hub. Author approval is not required for use.,0,0,,0,0,,,,0,0
"Global, regional, and national burden of mortality associated with short-term temperature variability from 2000-19: a three-stage modelling study",https://doi.org/10.1016/S2542-5196(22)00073-0,2542-5196,2022,6,1,"Data were collected within the Multi-Country Multi-City (MCC) Collaborative Research Network under a data sharing agreement and cannot be made publicly available. Researchers can refer to MCC participants, who are listed as coauthors of this Article, for information on accessing the data for each country.",0,0,,0,0,,,,0,0
Associations of short-term exposure to air pollution and increased ambient temperature with psychiatric hospital admissions in older adults in the USA: a case-crossover study,https://doi.org/10.1016/S2542-5196(22)00017-1,2542-5196,2022,6,1,"Related source US nationwide air pollution prediction data at 1 km grid cell can be found in the NASA Socioeconomic Data and Applications Center (SEDAC). Related source meteorological data can be accessed online on the LDAS data site. Aggregated data of air pollution predictions, temperature, and precipitation at the zipcode level for the contiguous states of the USA as well as other non-confidential documents are available upon reasonable request. We are not allowed to disclose the Medicare inpatient data used in this study to the public due to the regulation of level 3 medical data.",0,0,,0,0,,,,0,0
"Digital and technological innovation in vector-borne disease surveillance to predict, detect, and control climate-driven outbreaks",https://doi.org/10.1016/S2542-5196(21)00141-8,2542-5196,2021,6,1,,,,,,,1,Perspective w/o data or code,,,
Interactions between climate and COVID-19,https://doi.org/10.1016/S2542-5196(22)00174-7,2542-5196,2022,5,1,,,,,,,1,Perspective w/o data or code,,,
"The effect of deforestation and climate change on all-cause mortality and unsafe work conditions due to heat exposure in Berau, Indonesia: a modelling study",10.1016/S2542-5196(21)00279-5,2542-5196,2021,5,1,"All data, codes, and materials used in the analysis are available from the authors upon reasonable request via email to the corresponding author.",0,0,,0,0,,,,0,0
The number of people exposed to water stress in relation to how much water is reserved for the environment: a global modelling study,https://doi.org/10.1016/S2542-5196(21)00234-5,2542-5196,2021,5,1,"Data for all countries can be found in the appendix and are available for reuse, following proper citation to this Article. Requests for additional data should be sent to the corresponding author. Our estimates rely on multiple datasets complying with terms and conditions, or licensing.",0,0,,0,0,,,,0,0
Global projections of temperature-attributable mortality due to enteric infections: a modelling study,https://doi.org/10.1016/S2542-5196(21)00152-2,2542-5196,2021,5,1,"The data inputs for mortality and scalar of risk factors, gross domestic product, education and fertility, and ambient temperature can be accessed online. The data outputs are freely accessible online or through the corresponding author.",0,1,,0,0,,,,0,0
"Geostatistical analysis, web-based mapping, and environmental determinants of under-5 stunting: evidence from the 2014 Ghana Demographic and Health Survey",https://doi.org/10.1016/S2542-5196(21)00080-2,2542-5196,2021,5,0,,,,,,,1,Not climate,,,
Temperature impacts on hate speech online: evidence from 4 billion geolocated tweets from the USA,https://doi.org/10.1016/S2542-5196(22)00173-5,2542-5196,2022,4,1,"In compliance with Twitter terms of service restrictions and due to privacy concerns, the US1420 dataset will not be shared in a public repository. The HAR dataset used to train the classifier is available on request to the corresponding author. The HATE dataset is available online. The tweet IDs of the dataset are also available online. All climate data used in this analysis originated from the ERA-5 re-analysis dataset, which can be downloaded from the Climate Data Store. The mapping of US climate zones is available from the US Office of Energy Efficiency and Renewable Energy. The data underlying the socioeconomic subgroups are publicly available and sources are included in the Methods section. Scripts will be made publicly available immediately after publication.",0,1,"In compliance with Twitter terms of service restrictions and due to privacy concerns, the US1420 dataset will not be shared in a public repository. The HAR dataset used to train the classifier is available on request to the corresponding author. The HATE dataset is available online. The tweet IDs of the dataset are also available online. All climate data used in this analysis originated from the ERA-5 re-analysis dataset, which can be downloaded from the Climate Data Store. The mapping of US climate zones is available from the US Office of Energy Efficiency and Renewable Energy. The data underlying the socioeconomic subgroups are publicly available and sources are included in the Methods section. Scripts will be made publicly available immediately after publication.",0,0,,,,0,0
Ethical and economic implications of the adoption of novel plant-based beef substitutes in the USA: a general equilibrium modelling study,https://doi.org/10.1016/S2542-5196(22)00169-3,2542-5196,2022,4,1,"The USAGE-Food model output used in this study is summarised in appendix 2. Mathematical descriptions of modified components of the USAGE model are included in appendix 1 (pp 6–29). Documentation of USAGE is available at https://www.copsmodels.com/usage.htm. Full model simulations have been made available in the form of zipped archives in a Mendeley Data Repository available at: http://doi.org/10.17632/dmhhfw2yzt.1. The USAGE-Food model was run using GEMPACK 12.1, which requires a licence. A model-specific and scenario-specific GEMPACK licence to reproduce the model results can be made available. Inquiries to access this limited licence as well as for more detailed training in the use of the USAGE model can be addressed to PD (Peter.Dixon@vu.edu.au) and MR (Maureen.Bleazby@vu.edu.au).",0,1,,0,0,,,"Many model outputs are shared in a permanent respository, but not all the data ",1,0
Quantitative methods for climate change and mental health research: current trends and future directions,https://doi.org/10.1016/S2542-5196(22)00120-6,2542-5196,2022,4,1,,,,,,,1,Perspective w/o data or code,,,
