"Journal Data Filtered By:  Selected Categories: ENVIRONMENTAL SCIENCES Selected Editions: SCIE Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"International Journal of Environmental Science and Technology","INT J ENVIRON SCI TE","1735-1472","1735-2630","ENVIRONMENTAL SCIENCES - SCIE","13,670","3.1","Q3","0.51","5.76"%,
"SAR AND QSAR IN ENVIRONMENTAL RESEARCH","SAR QSAR ENVIRON RES","1062-936X","1029-046X","ENVIRONMENTAL SCIENCES - SCIE","1,442","3","Q3","0.68","2.7"%,
"ENVIRONMENTAL MONITORING AND ASSESSMENT","ENVIRON MONIT ASSESS","0167-6369","1573-2959","ENVIRONMENTAL SCIENCES - SCIE","31,552","3","Q3","0.53","7.86"%,
"Journal of Arid Land","J ARID LAND","1674-6767","2194-7783","ENVIRONMENTAL SCIENCES - SCIE","2,167","3","Q3","0.46","1.95"%,
"Atmosphere","ATMOSPHERE-BASEL","N/A","2073-4433","ENVIRONMENTAL SCIENCES - SCIE","16,192","2.9","Q3","0.56","99.41"%,
"WATER AIR AND SOIL POLLUTION","WATER AIR SOIL POLL","0049-6979","1573-2932","ENVIRONMENTAL SCIENCES - SCIE","23,847","2.9","Q3","0.53","8.47"%,
"Environmental Research Communications","ENVIRON RES COMMUN","2515-7620","2515-7620","ENVIRONMENTAL SCIENCES - SCIE","1,095","2.9","Q3","0.51","97.87"%,
"Environmental Earth Sciences","ENVIRON EARTH SCI","1866-6280","1866-6299","ENVIRONMENTAL SCIENCES - SCIE","27,253","2.8","Q3","0.65","7.48"%,
"VADOSE ZONE JOURNAL","VADOSE ZONE J","N/A","1539-1663","ENVIRONMENTAL SCIENCES - SCIE","5,630","2.8","Q3","0.65","85.13"%,
"Journal of Hydro-environment Research","J HYDRO-ENVIRON RES","1570-6443","1876-4444","ENVIRONMENTAL SCIENCES - SCIE","1,319","2.8","Q3","0.6","4.39"%,
"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS","ENVIRON MOL MUTAGEN","0893-6692","1098-2280","ENVIRONMENTAL SCIENCES - SCIE","3,478","2.8","Q3","0.58","16.67"%,
"ENVIRONMENTAL TECHNOLOGY","ENVIRON TECHNOL","0959-3330","1479-487X","ENVIRONMENTAL SCIENCES - SCIE","12,259","2.8","Q3","0.55","2.07"%,
"Anthropocene Review","ANTHROPOCENE REV","2053-0196","2053-020X","ENVIRONMENTAL SCIENCES - SCIE","887","2.8","Q3","0.51","32.1"%,
"Microbial Risk Analysis","MICROB RISK ANAL","2352-3522","2352-3530","ENVIRONMENTAL SCIENCES - SCIE","355","2.8","Q3","0.42","25.33"%,
"Environmental Progress & Sustainable Energy","ENVIRON PROG SUSTAIN","1944-7442","1944-7450","ENVIRONMENTAL SCIENCES - SCIE","5,270","2.8","Q3","0.4","1.5"%,
"Estuaries and Coasts","ESTUAR COAST","1559-2723","1559-2731","ENVIRONMENTAL SCIENCES - SCIE","5,993","2.7","Q3","0.71","23.55"%,
"Conservation Physiology","CONSERV PHYSIOL","2051-1434","2051-1434","ENVIRONMENTAL SCIENCES - SCIE","2,330","2.7","Q3","0.7","92.69"%,
"Journal of Arid Environments","J ARID ENVIRON","0140-1963","1095-922X","ENVIRONMENTAL SCIENCES - SCIE","10,784","2.7","Q3","0.65","6.74"%,
"JOURNAL OF HYDROINFORMATICS","J HYDROINFORM","1464-7141","1465-1734","ENVIRONMENTAL SCIENCES - SCIE","2,428","2.7","Q3","0.63","62.84"%,
"ECOTOXICOLOGY","ECOTOXICOLOGY","0963-9292","1573-3017","ENVIRONMENTAL SCIENCES - SCIE","7,173","2.7","Q3","0.62","9.38"%,
"BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","B ENVIRON CONTAM TOX","0007-4861","1432-0800","ENVIRONMENTAL SCIENCES - SCIE","10,248","2.7","Q3","0.54","2.88"%,
"ENVIRONMENTAL CONSERVATION","ENVIRON CONSERV","0376-8929","1469-4387","ENVIRONMENTAL SCIENCES - SCIE","4,102","2.7","Q3","0.51","29.82"%,
"WATER SCIENCE AND TECHNOLOGY","WATER SCI TECHNOL","0273-1223","1996-9732","ENVIRONMENTAL SCIENCES - SCIE","25,561","2.7","Q3","0.43","69.24"%,
"JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION","J AIR WASTE MANAGE","1096-2247","2162-2906","ENVIRONMENTAL SCIENCES - SCIE","7,390","2.7","Q3","0.4","13.23"%,
"OZONE-SCIENCE & ENGINEERING","OZONE-SCI ENG","0191-9512","1547-6545","ENVIRONMENTAL SCIENCES - SCIE","2,413","2.7","Q3","0.32","4.23"%,
"JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES","J TOXICOL ENV HEAL A","1528-7394","1087-2620","ENVIRONMENTAL SCIENCES - SCIE","4,339","2.6","Q3","0.68","2.97"%,
"Ecohydrology","ECOHYDROLOGY","1936-0584","1936-0592","ENVIRONMENTAL SCIENCES - SCIE","3,910","2.6","Q3","0.61","11.78"%,
"INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY","INT J ENVIRON AN CH","0306-7319","1029-0397","ENVIRONMENTAL SCIENCES - SCIE","6,239","2.6","Q3","0.54","0.38"%,
"Agricultural & Environmental Letters","AGR ENV LETT","N/A","2471-9625","ENVIRONMENTAL SCIENCES - SCIE","431","2.6","Q3","0.51","97.22"%,
"EcoHealth","ECOHEALTH","1612-9202","1612-9210","ENVIRONMENTAL SCIENCES - SCIE","2,610","2.5","Q3","0.64","27.78"%,
"COASTAL MANAGEMENT","COAST MANAGE","0892-0753","1521-0421","ENVIRONMENTAL SCIENCES - SCIE","1,340","2.5","Q3","0.49","21.65"%,
"Journal of Environmental Science and Health Part C-Toxicology and Carcinogenesis","J ENV SCI HEAL C-TOX","2689-6583","2689-6591","ENVIRONMENTAL SCIENCES - SCIE","94","2.5","Q3","0.45","2"%,
"CHEMISTRY AND ECOLOGY","CHEM ECOL","0275-7540","1029-0370","ENVIRONMENTAL SCIENCES - SCIE","1,654","2.5","Q3","0.44","0"%,
"Journal of Mountain Science","J MT SCI-ENGL","1672-6316","1993-0321","ENVIRONMENTAL SCIENCES - SCIE","4,928","2.5","Q3","0.43","7.16"%,
"Journal of the Indian Society of Remote Sensing","J INDIAN SOC REMOTE","0255-660X","0974-3006","ENVIRONMENTAL SCIENCES - SCIE","3,133","2.5","Q3","0.39","2.45"%,
"AQUATIC SCIENCES","AQUAT SCI","1015-1621","1420-9055","ENVIRONMENTAL SCIENCES - SCIE","3,475","2.4","Q3","0.73","20.45"%,
"AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS","AQUAT CONSERV","1052-7613","1099-0755","ENVIRONMENTAL SCIENCES - SCIE","5,608","2.4","Q3","0.68","13"%,
"International Journal of Mining Reclamation and Environment","INT J MIN RECLAM ENV","1748-0930","1748-0949","ENVIRONMENTAL SCIENCES - SCIE","946","2.4","Q3","0.64","8.59"%,
"JOURNAL OF ENVIRONMENTAL QUALITY","J ENVIRON QUAL","0047-2425","1537-2537","ENVIRONMENTAL SCIENCES - SCIE","14,951","2.4","Q3","0.56","37.18"%,
"JOURNAL OF HYDROLOGIC ENGINEERING","J HYDROL ENG","1084-0699","1943-5584","ENVIRONMENTAL SCIENCES - SCIE","5,956","2.4","Q3","0.5","4.08"%,
"Journal of Integrative Environmental Sciences","J INTEGR ENVIRON SCI","1943-815X","1943-8168","ENVIRONMENTAL SCIENCES - SCIE","447","2.4","Q3","0.45","100"%,
"ENVIRONMENTAL MODELING & ASSESSMENT","ENVIRON MODEL ASSESS","1420-2026","1573-2967","ENVIRONMENTAL SCIENCES - SCIE","1,562","2.4","Q3","0.44","11.94"%,
"Rangeland Ecology & Management","RANGELAND ECOL MANAG","1550-7424","1551-5028","ENVIRONMENTAL SCIENCES - SCIE","3,185","2.3","Q3","0.55","22.44"%,
"JOURNAL OF WATER AND HEALTH","J WATER HEALTH","1477-8920","1996-7829","ENVIRONMENTAL SCIENCES - SCIE","2,800","2.3","Q3","0.49","81.82"%,
"GEOMICROBIOLOGY JOURNAL","GEOMICROBIOL J","0149-0451","1521-0529","ENVIRONMENTAL SCIENCES - SCIE","3,672","2.3","Q3","0.46","2.84"%,
"JOURNAL OF ENVIRONMENTAL RADIOACTIVITY","J ENVIRON RADIOACTIV","0265-931X","1879-1700","ENVIRONMENTAL SCIENCES - SCIE","9,548","2.3","Q3","0.43","15.37"%,
"JOURNAL OF GREAT LAKES RESEARCH","J GREAT LAKES RES","0380-1330","0380-1330","ENVIRONMENTAL SCIENCES - SCIE","6,105","2.2","Q3","0.79","25.59"%,
"HEALTH PHYSICS","HEALTH PHYS","0017-9078","1538-5159","ENVIRONMENTAL SCIENCES - SCIE","4,666","2.2","Q3","0.68","14.24"%,
"Water Resources and Economics","WATER RESOUR ECON","2212-4284","2212-4284","ENVIRONMENTAL SCIENCES - SCIE","436","2.2","Q3","0.67","25.37"%,
"ENVIRONMENTAL FLUID MECHANICS","ENVIRON FLUID MECH","1567-7419","1573-1510","ENVIRONMENTAL SCIENCES - SCIE","1,850","2.2","Q3","0.58","20.1"%,
"WEB ECOLOGY","WEB ECOL","2193-3081","1399-1183","ENVIRONMENTAL SCIENCES - SCIE","216","2.2","Q3","0.5","96.55"%,
"RIVER RESEARCH AND APPLICATIONS","RIVER RES APPL","1535-1459","1535-1467","ENVIRONMENTAL SCIENCES - SCIE","5,229","2.2","Q3","0.48","19.41"%,
"JOURNAL OF ENVIRONMENTAL ENGINEERING","J ENVIRON ENG","0733-9372","1943-7870","ENVIRONMENTAL SCIENCES - SCIE","6,422","2.2","Q3","0.35","4.7"%,
"Greenhouse Gases-Science and Technology","GREENH GASES","2152-3878","2152-3878","ENVIRONMENTAL SCIENCES - SCIE","1,390","2.2","Q3","0.28","9.55"%,
"JOURNAL OF PALEOLIMNOLOGY","J PALEOLIMNOL","0921-2728","1573-0417","ENVIRONMENTAL SCIENCES - SCIE","3,782","2.1","Q4","0.56","21.95"%,
"JOURNAL OF COASTAL CONSERVATION","J COAST CONSERV","1400-0350","1874-7841","ENVIRONMENTAL SCIENCES - SCIE","1,894","2.1","Q4","0.49","15.66"%,
"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING","J ENVIRON SCI HEAL A","1093-4529","1532-4117","ENVIRONMENTAL SCIENCES - SCIE","5,907","2.1","Q4","0.3","1"%,
"JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE","J OCCUP ENVIRON HYG","1545-9624","1545-9632","ENVIRONMENTAL SCIENCES - SCIE","3,199","2","Q4","0.55","16.04"%,
"JOURNAL OF ATMOSPHERIC CHEMISTRY","J ATMOS CHEM","0167-7764","1573-0662","ENVIRONMENTAL SCIENCES - SCIE","1,733","2","Q4","0.49","17.78"%,
"WATER AND ENVIRONMENT JOURNAL","WATER ENVIRON J","1747-6585","1747-6593","ENVIRONMENTAL SCIENCES - SCIE","1,707","2","Q4","0.46","7.69"%,
"AEROBIOLOGIA","AEROBIOLOGIA","0393-5965","1573-3025","ENVIRONMENTAL SCIENCES - SCIE","1,755","2","Q4","0.45","22.41"%,
"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES","J ENVIRON SCI HEAL B","0360-1234","1532-4109","ENVIRONMENTAL SCIENCES - SCIE","3,441","2","Q4","0.45","0.61"%,
"ARCTIC ANTARCTIC AND ALPINE RESEARCH","ARCT ANTARCT ALP RES","1523-0430","1938-4246","ENVIRONMENTAL SCIENCES - SCIE","3,658","2","Q4","0.44","94.17"%,
"INDUSTRIAL HEALTH","IND HEALTH","0019-8366","1880-8026","ENVIRONMENTAL SCIENCES - SCIE","2,722","2","Q4","0.44","100"%,
"WETLANDS","WETLANDS","0277-5212","1943-6246","ENVIRONMENTAL SCIENCES - SCIE","5,452","2","Q4","0.44","12.79"%,
"SOIL & SEDIMENT CONTAMINATION","SOIL SEDIMENT CONTAM","1532-0383","1549-7887","ENVIRONMENTAL SCIENCES - SCIE","1,698","2","Q4","0.36","2.22"%,
"SOIL SCIENCE AND PLANT NUTRITION","SOIL SCI PLANT NUTR","0038-0768","1747-0765","ENVIRONMENTAL SCIENCES - SCIE","4,730","2","Q4","0.35","4.31"%,
"BIOREMEDIATION JOURNAL","BIOREMEDIAT J","1088-9868","1547-6529","ENVIRONMENTAL SCIENCES - SCIE","736","2","Q4","0.27","0.84"%,
"JOURNAL OF HEALTH POPULATION AND NUTRITION","J HEALTH POPUL NUTR","1606-0997","2072-1315","ENVIRONMENTAL SCIENCES - SCIE","2,528","1.9","Q4","0.48","99.18"%,
"Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S","ECOL CHEM ENG S","1898-6196","2084-4549","ENVIRONMENTAL SCIENCES - SCIE","769","1.9","Q4","0.31","99.15"%,
"JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS","J AGR ENVIRON ETHIC","1187-7863","1573-322X","ENVIRONMENTAL SCIENCES - SCIE","1,783","1.8","Q4","0.84","49.4"%,
"WETLANDS ECOLOGY AND MANAGEMENT","WETL ECOL MANAG","0923-4861","1572-9834","ENVIRONMENTAL SCIENCES - SCIE","2,339","1.8","Q4","0.41","16.43"%,
"Archives of Environmental & Occupational Health","ARCH ENVIRON OCCUP H","1933-8244","2154-4700","ENVIRONMENTAL SCIENCES - SCIE","2,360","1.8","Q4","0.38","4.78"%,
"POLISH JOURNAL OF ENVIRONMENTAL STUDIES","POL J ENVIRON STUD","1230-1485","2083-5906","ENVIRONMENTAL SCIENCES - SCIE","6,909","1.8","Q4","0.33","99.72"%,
"ENVIRONMENTAL FORENSICS","ENVIRON FORENSICS","1527-5922","1527-5930","ENVIRONMENTAL SCIENCES - SCIE","1,035","1.8","Q4","0.3","3.14"%,
"TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY","TOXICOL ENVIRON CHEM","0277-2248","1029-0486","ENVIRONMENTAL SCIENCES - SCIE","1,971","1.8","Q4","0.3","3.61"%,
"ENVIRONMENTAL ENGINEERING SCIENCE","ENVIRON ENG SCI","1092-8758","1557-9018","ENVIRONMENTAL SCIENCES - SCIE","3,432","1.8","Q4","0.25","7.07"%,
"ENVIRONMETRICS","ENVIRONMETRICS","1180-4009","1099-095X","ENVIRONMENTAL SCIENCES - SCIE","2,204","1.7","Q4","0.54","18.99"%,
"RADIATION AND ENVIRONMENTAL BIOPHYSICS","RADIAT ENVIRON BIOPH","0301-634X","1432-2099","ENVIRONMENTAL SCIENCES - SCIE","1,769","1.7","Q4","0.43","31.03"%,
"CLEAN-Soil Air Water","CLEAN-SOIL AIR WATER","1863-0650","1863-0669","ENVIRONMENTAL SCIENCES - SCIE","3,575","1.7","Q4","0.36","3.14"%,
"ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE","ANN AGR ENV MED","1232-1966","1898-2263","ENVIRONMENTAL SCIENCES - SCIE","2,881","1.7","Q4","0.34","99.04"%,
"Water Supply","WATER SUPPLY","1606-9749","1607-0798","ENVIRONMENTAL SCIENCES - SCIE","2,236","1.7","Q4","0.31","75.25"%,
"Journal of Applied Remote Sensing","J APPL REMOTE SENS","N/A","1931-3195","ENVIRONMENTAL SCIENCES - SCIE","4,285","1.7","Q4","0.3","13.96"%,
"ANTARCTIC SCIENCE","ANTARCT SCI","0954-1020","1365-2079","ENVIRONMENTAL SCIENCES - SCIE","2,206","1.6","Q4","0.42","29.92"%,
"PHYSICAL GEOGRAPHY","PHYS GEOGR","0272-3646","1930-0557","ENVIRONMENTAL SCIENCES - SCIE","1,372","1.6","Q4","0.37","3.39"%,
"GAIA-Ecological Perspectives for Science and Society","GAIA","0940-5550","2625-5413","ENVIRONMENTAL SCIENCES - SCIE","975","1.6","Q4","0.35","71"%,
"HUMAN DIMENSIONS OF WILDLIFE","HUM DIMENS WILDL","1087-1209","1533-158X","ENVIRONMENTAL SCIENCES - SCIE","1,724","1.6","Q4","0.34","8.67"%,
"NATURAL RESOURCE MODELING","NAT RESOUR MODEL","0890-8575","1939-7445","ENVIRONMENTAL SCIENCES - SCIE","614","1.6","Q4","0.34","56.76"%,
"MOUNTAIN RESEARCH AND DEVELOPMENT","MT RES DEV","0276-4741","1994-7151","ENVIRONMENTAL SCIENCES - SCIE","2,425","1.6","Q4","0.31","96.88"%,
"JOURNAL OF RADIOLOGICAL PROTECTION","J RADIOL PROT","0952-4746","1361-6498","ENVIRONMENTAL SCIENCES - SCIE","1,779","1.5","Q4","0.45","20.37"%,
"Archives of Environmental Protection","ARCH ENVIRON PROT","2083-4772","2083-4810","ENVIRONMENTAL SCIENCES - SCIE","643","1.5","Q4","0.27","78.29"%,
"AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE","AFR J RANGE FOR SCI","1022-0119","1727-9380","ENVIRONMENTAL SCIENCES - SCIE","687","1.4","Q4","0.38","11.3"%,
"ARID LAND RESEARCH AND MANAGEMENT","ARID LAND RES MANAG","1532-4982","1532-4990","ENVIRONMENTAL SCIENCES - SCIE","868","1.4","Q4","0.29","1.01"%,
"ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES","ISOT ENVIRON HEALT S","1025-6016","1477-2639","ENVIRONMENTAL SCIENCES - SCIE","1,099","1.3","Q4","0.36","6.96"%,
"Annali di Botanica","ANN BOT-COENOL PLANT","0365-0812","2239-3129","ENVIRONMENTAL SCIENCES - SCIE","149","1.3","Q4","0.34","0"%,
"Journal of Environmental Engineering and Landscape Management","J ENVIRON ENG LANDSC","1648-6897","1822-4199","ENVIRONMENTAL SCIENCES - SCIE","692","1.3","Q4","0.22","98.26"%,
"ARCTIC","ARCTIC","0004-0843","1923-1245","ENVIRONMENTAL SCIENCES - SCIE","2,014","1.2","Q4","0.29","94.12"%,
"Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia","ITAL J AGROMETEOROL","2038-5625","2038-5625","ENVIRONMENTAL SCIENCES - SCIE","157","1.2","Q4","0.29","53.06"%,
"Mires and Peat","MIRES PEAT","1819-754X","1819-754X","ENVIRONMENTAL SCIENCES - SCIE","686","1.2","Q4","0.25","0"%,
"BOREAL ENVIRONMENT RESEARCH","BOREAL ENVIRON RES","1239-6095","1797-2469","ENVIRONMENTAL SCIENCES - SCIE","1,211","1.2","Q4","0.23","0"%,
"Carpathian Journal of Earth and Environmental Sciences","CARPATH J EARTH ENV","1842-4090","1844-489X","ENVIRONMENTAL SCIENCES - SCIE","658","1.2","Q4","0.23","0"%,
"RADIOPROTECTION","RADIOPROTECTION","0033-8451","1769-700X","ENVIRONMENTAL SCIENCES - SCIE","515","1.1","Q4","0.51","42.45"%,
"CLIMATE RESEARCH","CLIM RES","0936-577X","1616-1572","ENVIRONMENTAL SCIENCES - SCIE","5,140","1.1","Q4","0.26","18.8"%,
"Environmental Engineering and Management Journal","ENVIRON ENG MANAG J","1582-9596","1843-3707","ENVIRONMENTAL SCIENCES - SCIE","2,565","1.1","Q4","0.18","0"%,
"Global NEST Journal","GLOBAL NEST J","1790-7632","N/A","ENVIRONMENTAL SCIENCES - SCIE","1,275","1.1","Q4","0.17","0"%,
"RADIATION PROTECTION DOSIMETRY","RADIAT PROT DOSIM","0144-8420","1742-3406","ENVIRONMENTAL SCIENCES - SCIE","6,514","1","Q4","0.3","6.4"%,
"International Journal of Global Warming","INT J GLOBAL WARM","1758-2083","1758-2091","ENVIRONMENTAL SCIENCES - SCIE","605","0.9","Q4","0.16","0"%,
"AQUATIC ECOSYSTEM HEALTH & MANAGEMENT","AQUAT ECOSYST HEALTH","1463-4988","1539-4077","ENVIRONMENTAL SCIENCES - SCIE","1,073","0.8","Q4","0.26","0"%,
"POLAR RECORD","POLAR REC","0032-2474","1475-3057","ENVIRONMENTAL SCIENCES - SCIE","791","0.8","Q4","0.17","43.88"%,
"Journal of Elementology","J ELEMENTOL","1644-2296","1644-2296","ENVIRONMENTAL SCIENCES - SCIE","1,021","0.8","Q4","0.14","0"%,
"JOURNAL OF ENVIRONMENTAL HEALTH","J ENVIRON HEALTH","0022-0892","0022-0892","ENVIRONMENTAL SCIENCES - SCIE","1,248","0.8","Q4","0.12","0"%,
"Grundwasser","GRUNDWASSER","1430-483X","1432-1165","ENVIRONMENTAL SCIENCES - SCIE","174","0.7","Q4","0.18","67.65"%,
"APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH","APPL ECOL ENV RES","1589-1623","1785-0037","ENVIRONMENTAL SCIENCES - SCIE","3,257","0.7","Q4","0.16","99.26"%,
"BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT","BIOTECHNOL AGRON SOC","1370-6233","1780-4507","ENVIRONMENTAL SCIENCES - SCIE","778","0.7","Q4","0.16","50.75"%,
"BIOLOGY AND ENVIRONMENT-PROCEEDINGS OF THE ROYAL IRISH ACADEMY","BIOL ENVIRON","0791-7945","2009-003X","ENVIRONMENTAL SCIENCES - SCIE","267","0.7","Q4","0.11","0"%,
"INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION","INT J ENVIRON POLLUT","0957-4352","1741-5101","ENVIRONMENTAL SCIENCES - SCIE","912","0.7","Q4","0.07","0"%,
"Revista Internacional de Contaminacion Ambiental","REV INT CONTAM AMBIE","0188-4999","N/A","ENVIRONMENTAL SCIENCES - SCIE","594","0.6","Q4","0.09","77.29"%,
"Journal of Environmental Science and Management","J ENVIRON SCI MANAG","0119-1144","0119-1144","ENVIRONMENTAL SCIENCES - SCIE","189","0.4","Q4","0.07","0"%,
"GEFAHRSTOFFE REINHALTUNG DER LUFT","GEFAHRST REINHALT L","0949-8036","1436-4891","ENVIRONMENTAL SCIENCES - SCIE","154","0.3","Q4","0.05","0"%,
"Rocznik Ochrona Srodowiska","ROCZ OCHR SR","1506-218X","N/A","ENVIRONMENTAL SCIENCES - SCIE","347","0.2","Q4","0.06","0"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
